group,field,units,dimensions,datatype,coordinates,least_significant_digit,description,long_name,source,group description
height_change,time,days since 2018-01-01,time,float64,time,None,"Time for each node, in days since 2018-01-01:T00.00.00 UTC",quarterly h(t) time,ATBD section 4.2,
height_change,time_lag1,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each quarterly height-change rate, in days since 2018-01-01:T00.00.00 UTC",quarterly dh/dt time,ATBD section 4.2,
height_change,time_lag4,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each annual height-change rate, in days since 2018-01-01:T00.00.00 UTC",annual dh/dt time,ATBD section 4.2,
height_change,time_lag8,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each biennial height-change rate, in days since 2018-01-01:T00.00.00 UTC",biennial dh/dt time,ATBD section 4.2,
height_change,time_lag12,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each triennial height-change rate, in days since 2018-01-01:T00.00.00 UTC",triennial dh/dt time,ATBD section 4.2,
height_change,x,meters,x,float64,x,None,"x coordinate of the 1-km cell centers, in projected coordinates",polar stereographic x at 1km,ATBD section 3.2,
height_change,y,meters,y,float64,y,None,"y coordinate of the 1-km cell centers, in projected coordinates",polar stereographic y at 1km,ATBD section 3.2,
height_change,ice_area,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each 1x1 km grid cell, accounting for the area distortion in the polar-stereographic projections",ice-covered area at 1 km,ATBD section 3.4,
height_change,ice_area_lag1,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each 1x1 km grid cell for quarterly change in height, accounting for the area distortion in the polar-stereographic projections","ice-covered area at 1 km, for quarterly change in height",ATBD section 3.4,
height_change,ice_area_lag4,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each 1x1 km grid cell for annual change in height, accounting for the area distortion in the polar-stereographic projections","ice-covered area at 1 km, for annual change in height",ATBD section 3.4,
height_change,ice_area_lag8,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each 1x1 km grid cell for biennial change in height, accounting for the area distortion in the polar-stereographic projections","ice-covered area at 1 km, for biennial change in height",ATBD section 3.4,
