tile,half,threads,n_atl11,n_xo,n_fit,fit_s,fit_g,err_s,err_g,unc_s,tide,build
60km_E-580_N-980,60km,4,1226724,1167,1165818,1503.4,13.3,1686.0,6.41,1669.22,0.2506227391859914,ab84687
60km_E-420_N-1140,60km,4,1044379,928,1042911,1630.5,12.2,1797.7,6.95,1780.29,0.9804320824350837,ab84687
60km_E-1340_N420,60km,8,740987,476,740986,1161.2,12.53,1657.1,8.06,1640.28,0.9952712118472191,ab84687
60km_E-1420_N340,60km,4,643977,458,643976,1385.2,11.94,1578.0,7.9,1562.71,0.5638919421590166,ab84687
60km_E1740_N740,60km,4,851041,294,842105,1268.8,11.26,1630.0,8.17,1614.49,0.3100008501504412,ab84687
60km_E2060_N740,60km,4,622433,234,622432,1297.5,11.62,1579.7,7.79,1564.01,0.9953916711338494,ab84687
44km_E100_N20,44km,4,0,0,0,7.8,0.31,0,0,0.0,,ab84687
44km_E220_N20,44km,8,12340121,171488,893044,4960.7,21.47,3938.4,11.61,3925.29,,ab84687
44km_E300_N20,44km,4,5483852,52882,1309369,3139.1,16.35,1487.4,9.43,1474.04,,ab84687
44km_E420_N20,44km,4,3129133,16696,1273189,1766.3,11.55,891.2,6.53,879.20,,ab84687
60km_E420_N20,60km,4,5847845,32735,1234050,3695.1,18.92,3259.2,11.79,3239.50,,ab84687
60km_E620_N20,60km,4,3717717,10597,1212246,2678.3,16.24,2649.4,9.12,2629.94,,ab84687
60km_E900_N20,60km,8,2459389,3273,1205418,1580.6,15.15,2129.6,7.78,2110.91,,ab84687
60km_E1220_N20,60km,4,1769289,1475,1203360,1903.7,13.47,1897.2,7.07,1880.12,,ab84687
60km_E1620_N20,60km,4,1306071,636,1125091,1464.7,11.91,1660.3,6.35,1643.89,,ab84687
60km_E2020_N20,60km,4,942659,374,941742,1289.1,11.58,1680.4,7.43,1664.35,,ab84687
60km_E2420_N20,60km,4,560157,148,560156,1188.5,10.79,1574.0,8.33,1559.39,,ab84687
